,아파트,금액(만원),면적,층,주소
112,"부평1,2차금호타운",28500,59.8,2,청천동 200
113,한화2단지,28500,59.88,5,산곡동 124-23
114,십정뜨란채1단지,28500,59.93,6,십정동 608-4
115,현대2차,28500,72.54,15,산곡동 311-126
116,부개주공7단지,28500,59.99,10,부개동 502-8
117,경남5차,28250,84.97,17,산곡동 261-8
118,삼산주공미래타운3차,28200,59.41,9,삼산동 390-6
119,현대2차,28200,59.9,14,산곡동 311-126
120,부평샬레아넬리스,28200,59.95,3,산곡동 518
121,삼산주공미래타운3차,28000,59.41,17,삼산동 390-6
122,미가로,27900,59.99,15,청천동 199-24
123,우성1차2차(294-35),27500,73.96,5,산곡동 294-35
124,부개주공3,27500,59.98,12,부개동 498-5
125,뉴서울(264-1),27400,84.89,13,산곡동 264-1
126,뉴서울(264-1),27400,84.89,13,산곡동 264-1
127,욱일,27000,84.16,13,부평동 65-7
128,삼산주공미래타운4차,27000,59.39,20,삼산동 389-8
129,부개주공3,27000,59.97,13,부개동 498-5
130,뉴서울아파트,26900,84.81,15,산곡동 255-1
131,부개주공3,26850,59.97,15,부개동 498-5
132,쌍용,26800,72.31,2,청천동 259
133,일신주공아파트(100~112동),26500,59.97,2,일신동 410
134,"한국1,동아,팬더",26500,59.85,9,갈산동 369
135,삼산주공미래타운1차,26500,59.39,15,삼산동 387-2
136,"부평1,2차금호타운",26400,59.8,1,청천동 200
137,쌍용더플래티넘부평,26000,39.5,11,산곡동 519
138,태화프리상뜨,26000,59.42,7,산곡동 233-26
139,삼산주공미래타운1차,26000,59.39,13,삼산동 387-2
140,부평SKVIEW해모로,25300,36.1,15,부평동 962
141,쌍용,25300,56.25,11,청천동 259
142,뉴플러스,25000,69.98,10,부평동 495-2
143,뉴서울아파트,25000,84.81,9,산곡동 255-1
144,삼산주공미래타운1차,24900,59.39,19,삼산동 387-2
145,동암신동아,24800,59.8,2,십정동 607
146,현대(124-1),24700,59.4,14,산곡동 124-1
147,경남5차,24500,84.97,2,산곡동 261-8
148,동암신동아,24500,59.8,8,십정동 607
149,동암신동아,24000,59.8,3,십정동 607
150,백조(바),24000,55.26,2,부개동 95-2
151,부개역코오롱하늘채,23900,31.93,4,부개동 525
152,부개주공3,23700,49.96,10,부개동 498-5
153,부개주공3,23500,49.96,14,부개동 498-5
154,부개주공3,23500,49.96,9,부개동 498-5
155,삼익,23400,61.38,5,청천동 300
156,경남4차,23000,59.72,18,산곡동 274-5
157,한국,22900,60.0,11,십정동 186-7
158,삼보,22000,60.54,5,산곡동 180-116
159,현대(124-1),22000,59.4,4,산곡동 124-1
160,해피에이스,21700,47.82,11,부평동 179-8
161,뉴서울,21500,46.68,9,부개동 477-3
162,뉴서울(264-1),21500,74.33,11,산곡동 264-1
163,대림1차,21000,76.39,12,부평동 64-20
